"_id","Commune","Date_debut","Date_fin","Departement","id","Lambert_X","Lambert_Y","Nom_du_site","Periodes","Region","Themes","Type_intervention"
"608ab357aa2e0000950006f2","Lesches","15/03/2003","31/08/2003","Seine-et-Marne","94","685195","6870835","Les Prés de Refuge","#Protohistoire","Ile-de-France",,"fouille"
"608ab357aa2e0000950006f3","Meaux","28/07/2003","31/08/2003","Seine-et-Marne","95","693037","6873841","Zi Nord, Lot D1","#Antiquité#Moyen Âge#Moderne, Contemporain","Ile-de-France",,"fouille"
"608ab357aa2e0000950006f4","Reims","21/06/2000","01/09/2003","Marne","96","775480","6905810","Rue de l'Équerre","#Antiquité","Champagne-Ardenne","#Cultes et pratiques funéraires#Échange et transport#Habitats, architecture, édifices#Industrie, artisanat","fouille"
"608ab357aa2e0000950006f5","Saint-Péray","30/06/2003","09/09/2003","Ardèche","97","844763","6427410","Chavas","#Protohistoire","Rhône-Alpes",,"fouille"
"608ab357aa2e0000950006f6","Quessoy","04/08/2003","09/09/2003","Côtes-d'Armor","98","284116","6828878","Le Clos Maillard","#Protohistoire","Bretagne",,"fouille"
"608ab357aa2e0000950006f7","Reims","10/02/2003","15/09/2003","Marne","99","775480","6906720","19, rue Eugène-Desteuque","#Protohistoire#Antiquité#Moyen Âge#Moderne, Contemporain","Champagne-Ardenne",,"fouille"
"608ab357aa2e0000950006f8","Capelle-les-Grands","12/05/2003","15/09/2003","Eure","100","514500","6886300","Les Terres-Noires","#Antiquité#Moyen Âge","Haute-Normandie",,"fouille"
"608ab357aa2e0000950006f9","Omonville-la-Petite","25/08/2003","26/09/2003","Manche","101","347070","6966785","La Jupinerie","#Néolithique#Protohistoire","Basse-Normandie",,"fouille"
"608ab357aa2e0000950006fa","Reims","01/02/2003","30/09/2003","Marne","102","775475,03","6906733,84","19  rue Eugène-Desteuque","#Antiquité#Moyen Âge#Moderne, Contemporain","Champagne-Ardenne","#Habitats, architecture, édifices","fouille"
"608ab357aa2e0000950006fb","Marlenheim","02/07/2003","30/09/2003","Bas-Rhin","103","1030646","6845046","Maison apprederis","#Protohistoire#Moyen Âge","Alsace",,"fouille"
"608ab357aa2e0000950006fc","Roissy-en-France","08/09/2003","20/10/2003","Val-d'Oise","104","663452","6878154","Le Moulin","#Moderne, Contemporain","Ile-de-France",,"fouille"
"608ab357aa2e0000950006fd","Muids","25/08/2003","22/10/2003","Eure","105","573280","6902360","Le Gorgeon des Rues 2","#Néolithique#Antiquité","Haute-Normandie",,"fouille"
"608ab357aa2e0000950006fe","Sarry","06/10/2003","24/10/2003","Marne","106","802760","6870050","Les Auges","#Protohistoire#Antiquité","Champagne-Ardenne",,"fouille"
"608ab357aa2e0000950006ff","Vincey","13/10/2003","27/10/2003","Vosges","107","946600","6809300","Pontière de la Banvoye, Chemin des pêcheurs","#Protohistoire","Lorraine",,"fouille"
"608ab357aa2e000095000700","Buthiers","01/08/2003","30/10/2003","Seine-et-Marne","108","658143","6796782","Le dessus-de-Rochefort","#Protohistoire","Ile-de-France",,"fouille"
"608ab357aa2e000095000701","Nanterre","08/09/2003","31/10/2003","Hauts-de-Seine","109","640181","6866813","Avenue Jules-Quentin","#Protohistoire#Antiquité","Ile-de-France",,"fouille"
"608ab357aa2e000095000702","Laval","01/05/2003","01/11/2003","Mayenne","110","419091","6781027","Saint-Tugal","#Moyen Âge","Pays de la Loire",,"fouille"
"608ab357aa2e000095000703","Mandeure","08/09/2003","17/11/2003","Doubs","111","987313","6711773","Rue de la Récille","#Protohistoire#Antiquité#Moyen Âge","Franche-Comté",,"fouille"
"608ab357aa2e000095000704","Geispolsheim","20/10/2003","18/11/2003","Bas-Rhin","112","1045419","6836607","Forlen","#Protohistoire#Moyen Âge","Alsace",,"fouille"
